date,equity
2019-10-16,589795.1469695767
2019-10-17,592323.371108872
2019-10-20,576191.6513742978
2019-10-21,566986.558152132
2019-10-22,532028.4037846419
2019-10-23,533718.0801340209
2019-10-24,537425.8993619548
2019-10-31,536047.2058654655
2019-11-03,653557.091679478
2019-11-04,538040.060539629
2019-11-05,538489.9345552393
2019-11-06,536984.1643184628
2019-11-07,535403.6692090478
2019-11-10,534049.4263615352
2019-11-11,538928.4296189611
2019-11-12,537262.7389801998
2019-11-13,527450.8429701144
2019-11-14,527414.2461360311
2019-11-17,525243.9892197645
2019-11-18,526075.6122238506
2019-11-19,523521.0303958675
2019-11-20,523613.6286292935
2019-11-21,640621.8741765106
2019-11-24,519378.44466496026
2019-11-25,578386.0672168164
2019-11-26,518514.5246137734
2019-11-27,523328.85024901916
2019-11-28,520558.84347331367
2019-12-01,522722.0657758745
2019-12-02,509040.94680445816
2019-12-03,511053.2756161933
2019-12-04,516254.58143856097
2019-12-05,518525.1006928804
2019-12-08,518823.04734853643
2019-12-09,526156.8287189353
2019-12-10,524214.2151128519
2019-12-11,529055.5403009497
2019-12-12,537601.9239094455
2019-12-15,533238.4873319506
2019-12-16,529715.0387277724
2019-12-17,531920.8381394974
2019-12-18,531308.1827690676
2019-12-19,531504.2244613501
2019-12-22,530392.6665536637
2019-12-23,532890.6444608017
2019-12-24,525770.1585766986
2019-12-25,526304.5100002346
2019-12-26,526519.8096995592
2019-12-29,525057.6936843685
2019-12-30,515135.3985551503
2019-12-31,517461.03502515715
2020-01-01,520212.9220117551
2020-01-02,520065.43720437743
2020-01-05,525631.125771484
2020-01-06,528121.2873076346
2020-01-07,531572.9846377261
2020-01-08,533043.6370238299
2020-01-09,536115.5400264296
2020-01-12,553979.4217404248
2020-01-13,556446.2930551035
2020-01-14,554859.9324870678
2020-01-15,558326.777385023
2020-01-16,565120.6671623508
2020-01-19,577875.9180770098
2020-01-20,542545.8553161682
2020-01-21,548177.1715320229
2020-01-22,547354.2265333406
2020-01-23,543625.621229889
2020-01-26,534776.6045756778
2020-01-27,544888.6804054509
2020-01-28,551234.3234199459
2020-01-29,556553.6032614901
2020-01-30,563249.178985936
2020-02-02,569346.2645214613
2020-02-03,572324.9464648011
2020-02-04,565982.3811486856
2020-02-05,566146.4970180974
2020-02-06,622454.9364251773
2020-02-09,558071.5256665589
2020-02-10,545656.138688684
2020-02-11,553769.9452037023
2020-02-12,559700.6238486696
2020-02-13,563975.8798672355
2020-02-16,578197.1678119994
2020-02-17,587513.9962264526
2020-02-18,584197.7433334964
2020-02-19,592414.0285411522
2020-02-20,609135.9874509868
2020-02-23,626443.1248783529
2020-02-24,620784.0362636317
2020-02-25,629772.6537709588
2020-02-26,640916.5618468539
2020-02-27,643146.0302124798
2020-03-01,630301.1503744568
2020-03-02,595531.3583784353
2020-03-03,598728.224265594
2020-03-04,572640.222109197
2020-03-05,573077.2341505863
2020-03-10,543764.7091189964
2020-03-11,569932.545795329
2020-03-12,553656.1152938433
2020-03-15,531379.4222777751
2020-03-16,533588.056906382
2020-03-17,519330.1938485848
2020-03-18,509969.16597825685
2020-03-19,515607.4861170334
2020-03-22,568953.4340683124
2020-05-12,705482.3836356695
2020-05-13,609911.2139226536
2020-06-29,493511.40292627783
2020-06-30,523077.6818875098
2020-07-01,551781.3415188419
2020-07-02,580190.6068266865
2020-07-05,526426.1177345542
2020-07-06,541019.698193561
2020-07-07,547940.7403130543
2020-07-08,547102.7888129868
2020-07-09,549156.4547216384
2020-07-12,557605.6986748487
2020-07-13,558247.170447063
2020-07-14,563684.8262579709
2020-07-15,564682.8814059497
2020-07-16,572817.083421186
2020-07-19,607077.7737253993
2020-07-20,591946.3256795345
2020-07-21,588128.9841832627
2020-07-22,583098.1088644512
2020-07-23,591085.3464079507
2020-07-26,601979.2990894485
2020-07-27,598692.0816294702
2020-07-28,594783.3984867645
2020-07-29,586640.5690028686
2020-07-30,590246.9708312907
2020-08-02,575416.3669769438
2020-08-03,576109.4138171065
2020-08-05,569843.2925693177
2020-08-06,568872.3575558654
2020-08-09,575159.8651996036
2020-08-10,587155.1857806571
2020-08-11,584376.8602707913
2020-08-12,584921.735669251
2020-08-13,578469.806986058
2020-08-16,574978.4607941768
2020-08-17,579867.268016633
2020-08-18,585018.2037660662
2020-08-19,577173.2922984972
2020-08-20,579307.251863908
2020-08-23,584568.0496738697
2020-08-24,591707.8671780969
2020-08-25,593799.3125337181
2020-08-26,598313.4331590477
2020-08-27,596530.1951445931
2020-08-30,596874.1802084814
2020-08-31,601621.6909481831
2020-09-02,614850.9782093074
2020-09-03,616901.2105184322
2020-09-06,618204.0846651962
2020-09-07,615782.2555672496
2020-09-08,617342.890823806
2020-09-09,621943.3498911852
2020-09-10,626473.1510149394
2020-09-13,638376.2339519063
2020-09-14,639230.2737752687
2020-09-15,639563.768016499
2020-09-16,643882.4427836764
2020-09-17,656447.1067791859
2020-09-20,654519.2131824635
2020-09-21,654922.9186977883
2020-09-22,644061.1967004177
2020-09-23,651939.988872803
2020-09-24,657134.4523435829
2020-09-27,654271.3587160653
2020-09-28,655827.9400276123
2020-09-29,655992.0050453586
2020-09-30,655447.6436964412
2020-10-01,668149.9645460937
2020-10-04,673220.930029442
2020-10-05,673805.7170962028
2020-10-06,670286.0257241292
2020-10-07,677470.8894211547
2020-10-08,678250.9246979024
2020-10-11,669919.0975962915
2020-10-12,672329.5915772137
2020-10-13,666673.8749367662
2020-10-14,661217.5738026701
2020-10-15,659584.8426417091
2020-10-18,656431.0419192404
2020-10-19,665310.8408326174
2020-10-20,668007.4228063964
2020-10-21,669827.3120818645
2020-10-22,671969.7286499762
2020-10-28,681960.0958615291
2020-10-29,681070.8533097163
2020-11-01,683008.2336502395
2020-11-02,688287.1807544999
2020-11-03,689374.0805782052
2020-11-04,688421.5918065811
2020-11-05,686726.1458549758
2020-11-08,691840.998970353
2020-11-09,689340.7284136934
2020-11-10,690328.240139518
2020-11-11,695837.2267967758
2020-11-12,695758.3215355518
